run_id,run_number,run_url,commit_sha,commit_short_sha,commit_message,status,workflow_duration,test_count,test_failures,test_average_time,test_total_time,timestamp,scenario_id,execution_mode,cache,generated_test_count,slow_test_delay_seconds,failing_case,scenario_notes,job_name,job_status,job_duration
26888824793,11,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824793,efa216b1750f09f3c834bb0feea1c460bb2bf65e,efa216b,Experiment re-enable dependency cache,success,32.0,37,0,0.0019,0.072,2026-06-03T13:43:54Z,r10_cache_restored,parallel,enabled,30,0.0,,Cache reabilitado mantendo a mesma quantidade de testes.,Tests parallel,success,17.0
26888824793,11,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824793,efa216b1750f09f3c834bb0feea1c460bb2bf65e,efa216b,Experiment re-enable dependency cache,success,32.0,37,0,0.0019,0.072,2026-06-03T13:43:54Z,r10_cache_restored,parallel,enabled,30,0.0,,Cache reabilitado mantendo a mesma quantidade de testes.,Lint,success,16.0
26888824793,11,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824793,efa216b1750f09f3c834bb0feea1c460bb2bf65e,efa216b,Experiment re-enable dependency cache,success,32.0,37,0,0.0019,0.072,2026-06-03T13:43:54Z,r10_cache_restored,parallel,enabled,30,0.0,,Cache reabilitado mantendo a mesma quantidade de testes.,Tests sequential,skipped,0.0
26888826817,12,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888826817,beeb71b0e106a5c21acbf87ed8978ec2f1936212,beeb71b,Experiment switch to sequential jobs,success,48.0,25,0,0.0024,0.059,2026-06-03T13:43:56Z,r11_sequential,sequential,enabled,18,0.0,,Jobs de lint e teste em ordem sequencial.,Prepare scenario,success,7.0
26888826817,12,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888826817,beeb71b0e106a5c21acbf87ed8978ec2f1936212,beeb71b,Experiment switch to sequential jobs,success,48.0,25,0,0.0024,0.059,2026-06-03T13:43:56Z,r11_sequential,sequential,enabled,18,0.0,,Jobs de lint e teste em ordem sequencial.,Lint,success,18.0
26888826817,12,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888826817,beeb71b0e106a5c21acbf87ed8978ec2f1936212,beeb71b,Experiment switch to sequential jobs,success,48.0,25,0,0.0024,0.059,2026-06-03T13:43:56Z,r11_sequential,sequential,enabled,18,0.0,,Jobs de lint e teste em ordem sequencial.,Tests parallel,skipped,0.0
26888826817,12,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888826817,beeb71b0e106a5c21acbf87ed8978ec2f1936212,beeb71b,Experiment switch to sequential jobs,success,48.0,25,0,0.0024,0.059,2026-06-03T13:43:56Z,r11_sequential,sequential,enabled,18,0.0,,Jobs de lint e teste em ordem sequencial.,Tests sequential,success,13.0
26888827636,13,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888827636,3b6ef937a02d7d982b1eff9a1bf41d990699be9d,3b6ef93,Experiment sequential slow wide tests,success,40.0,43,0,0.0189,0.812,2026-06-03T13:43:57Z,r13_sequential_slow_wide,sequential,enabled,36,0.02,,Cenario sequencial com suite maior e testes lentos.,Prepare scenario,success,4.0
26888827636,13,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888827636,3b6ef937a02d7d982b1eff9a1bf41d990699be9d,3b6ef93,Experiment sequential slow wide tests,success,40.0,43,0,0.0189,0.812,2026-06-03T13:43:57Z,r13_sequential_slow_wide,sequential,enabled,36,0.02,,Cenario sequencial com suite maior e testes lentos.,Lint,success,15.0
26888827636,13,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888827636,3b6ef937a02d7d982b1eff9a1bf41d990699be9d,3b6ef93,Experiment sequential slow wide tests,success,40.0,43,0,0.0189,0.812,2026-06-03T13:43:57Z,r13_sequential_slow_wide,sequential,enabled,36,0.02,,Cenario sequencial com suite maior e testes lentos.,Tests parallel,skipped,0.0
26888827636,13,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888827636,3b6ef937a02d7d982b1eff9a1bf41d990699be9d,3b6ef93,Experiment sequential slow wide tests,success,40.0,43,0,0.0189,0.812,2026-06-03T13:43:57Z,r13_sequential_slow_wide,sequential,enabled,36,0.02,,Cenario sequencial com suite maior e testes lentos.,Tests sequential,success,13.0
26888830926,14,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888830926,da5fdbfdea45be9a855af2f4e649cbe4fa2ccdae,da5fdbf,Experiment parallel slow wide tests,success,26.0,43,0,0.0188,0.808,2026-06-03T13:44:01Z,r14_parallel_slow_wide,parallel,enabled,36,0.02,,Cenario paralelo equivalente ao sequencial lento e amplo.,Prepare scenario,success,5.0
26888830926,14,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888830926,da5fdbfdea45be9a855af2f4e649cbe4fa2ccdae,da5fdbf,Experiment parallel slow wide tests,success,26.0,43,0,0.0188,0.808,2026-06-03T13:44:01Z,r14_parallel_slow_wide,parallel,enabled,36,0.02,,Cenario paralelo equivalente ao sequencial lento e amplo.,Tests parallel,success,14.0
26888830926,14,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888830926,da5fdbfdea45be9a855af2f4e649cbe4fa2ccdae,da5fdbf,Experiment parallel slow wide tests,success,26.0,43,0,0.0188,0.808,2026-06-03T13:44:01Z,r14_parallel_slow_wide,parallel,enabled,36,0.02,,Cenario paralelo equivalente ao sequencial lento e amplo.,Lint,success,12.0
26888830926,14,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888830926,da5fdbfdea45be9a855af2f4e649cbe4fa2ccdae,da5fdbf,Experiment parallel slow wide tests,success,26.0,43,0,0.0188,0.808,2026-06-03T13:44:01Z,r14_parallel_slow_wide,parallel,enabled,36,0.02,,Cenario paralelo equivalente ao sequencial lento e amplo.,Tests sequential,skipped,0.0
